Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Kansas,B12,37-3,35.21,120.9,85.7,66.8,0.012,9.57,109.2,99.6,-1.41
2.0,Memphis,CUSA,38-2,31.51,118.0,86.5,68.1,0.012,5.83,107.0,101.1,5.45
3.0,North Carolina,ACC,36-3,30.22,122.1,91.9,72.5,0.05,10.18,108.0,97.8,1.5
4.0,UCLA,P10,35-4,29.94,118.0,88.1,64.1,0.047,10.03,109.3,99.3,-1.63
5.0,Wisconsin,B10,31-5,26.68,113.5,86.8,61.1,0.043,7.35,107.1,99.8,-0.19
6.0,Duke,ACC,28-6,26.4,116.3,89.9,71.5,-0.006,10.06,109.1,99.0,3.36
7.0,Georgetown,BE,28-6,25.56,115.2,89.7,60.5,0.029,8.48,108.2,99.8,-2.72
8.0,Louisville,BE,27-9,25.41,113.1,87.7,65.3,-0.057,9.34,108.4,99.0,0.79
9.0,Texas,B12,31-7,25.09,120.6,95.5,63.9,0.044,10.37,108.4,98.0,0.04
10.0,Washington St.,P10,26-9,24.32,115.1,90.8,58.3,-0.004,8.99,109.0,100.0,-6.51
11.0,Davidson,SC,29-7,23.61,117.0,93.4,66.2,-0.036,3.36,105.2,101.8,14.93
12.0,Stanford,P10,28-8,22.75,113.6,90.9,63.4,0.04,9.32,109.1,99.7,-6.32
13.0,Tennessee,SEC,31-5,22.17,116.2,94.0,70.7,0.11,9.58,109.4,99.8,7.64
14.0,Marquette,BE,25-10,22.16,115.3,93.1,66.6,-0.027,8.62,107.9,99.3,-6.37
15.0,Xavier,A10,30-7,22.05,117.3,95.2,63.8,0.054,6.94,108.1,101.2,3.5
16.0,Clemson,ACC,24-10,22.03,114.0,91.9,68.0,-0.044,9.53,109.3,99.8,0.31
17.0,Drake,MVC,28-5,21.46,120.0,98.5,62.9,0.011,4.89,105.5,100.6,0.11
18.0,West Virginia,BE,26-11,21.29,114.6,93.3,63.8,-0.019,9.0,108.5,99.5,-1.98
19.0,Michigan St.,B10,27-9,21.15,115.8,94.7,63.3,0.032,8.71,108.2,99.5,0.59
